pair_id,idx_9000nm,idx_11000nm,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
43293_40397,43293,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9887878894805908
43291_40397,43291,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9888536334037781
43283_40397,43283,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9893885254859924
43286_40397,43286,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9891767501831055
43285_40397,43285,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9892730712890625
43284_40397,43284,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9892278909683228
43287_40397,43287,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9891024827957153
43294_40397,43294,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9887588620185852
43290_40397,43290,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9888203144073486
43288_40397,43288,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.9890093207359314
43289_40397,43289,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.988838791847229
43539_41615,43539,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912582635879517
43538_41615,43538,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.991367757320404
43545_41615,43545,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912704229354858
43546_41615,43546,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912335276603699
43544_41615,43544,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.991314172744751
43541_41615,43541,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912546873092651
43542_41615,43542,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9913508296012878
43543_41615,43543,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912948608398438
43534_41615,43534,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912973642349243
43535_41615,43535,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9913312792778015
43536_41615,43536,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9912920594215393
43537_41615,43537,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.991331934928894
43540_41615,43540,41615,6.295719753711419,13.5,12.0,784,784,1.0,0.9911874532699585
43506_40639,43506,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9897493720054626
43504_40639,43504,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9898597598075867
43505_40639,43505,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9896230101585388
43507_40639,43507,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9896970391273499
43508_40639,43508,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9897043108940125
43509_40639,43509,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9895836710929871
43510_40639,43510,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.989377498626709
43502_40639,43502,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9900237321853638
43503_40639,43503,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9899135231971741
43500_40639,43500,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9903101921081543
43501_40639,43501,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.9902317523956299
43499_40639,43499,40639,6.948864853109311,13.5,12.1,784,784,1.0,0.990332841873169
43580_41615,43580,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9907033443450928
43550_41615,43550,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.991187572479248
43581_41615,43581,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9906863570213318
43552_41615,43552,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9911844730377197
43564_41615,43564,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9908202886581421
43553_41615,43553,41615,7.2827372775617265,13.5,12.0,785,785,1.0,0.9912076592445374
43551_41615,43551,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9911471605300903
43556_41615,43556,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9909917116165161
43557_41615,43557,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9909630417823792
43558_41615,43558,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9909545183181763
43559_41615,43559,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9908537864685059
43570_41615,43570,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9908814430236816
43569_41615,43569,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9908151626586914
43571_41615,43571,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.990803062915802
43579_41615,43579,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9907498955726624
43554_41615,43554,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9910690188407898
43555_41615,43555,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9910106062889099
43563_41615,43563,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9907176494598389
43549_41615,43549,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9911537766456604
43565_41615,43565,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9907252192497253
43592_41615,43592,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9904528856277466
43591_41615,43591,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9904963374137878
43590_41615,43590,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.990501344203949
43610_41615,43610,41615,7.2827372775617265,13.5,12.0,784,784,1.0,0.9900965690612793
