pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43317_40433,43317,40433,5.74609844612315,784,784,1.0,0.9955415725708008
43316_40433,43316,40433,5.74609844612315,784,784,1.0,0.9955667853355408
43315_40433,43315,40433,5.74609844612315,784,784,1.0,0.9955883622169495
43314_40433,43314,40433,5.74609844612315,784,784,1.0,0.9956076741218567
43313_40433,43313,40433,5.74609844612315,784,784,1.0,0.9956443309783936
43312_40433,43312,40433,5.74609844612315,784,784,1.0,0.9956767559051514
43311_40433,43311,40433,5.74609844612315,784,784,1.0,0.9956797957420349
43310_40433,43310,40433,5.74609844612315,784,784,1.0,0.995721697807312
43341_40433,43341,40433,5.74609844612315,784,784,1.0,0.9953010678291321
43340_40433,43340,40433,5.74609844612315,784,784,1.0,0.9953241944313049
43339_40433,43339,40433,5.74609844612315,784,784,1.0,0.9953373670578003
43338_40433,43338,40433,5.74609844612315,784,784,1.0,0.9953336715698242
43337_40433,43337,40433,5.74609844612315,784,784,1.0,0.9953320622444153
43336_40433,43336,40433,5.74609844612315,784,784,1.0,0.9952988028526306
43335_40433,43335,40433,5.74609844612315,784,784,1.0,0.9953511953353882
43334_40433,43334,40433,5.74609844612315,784,784,1.0,0.9953717589378357
43301_40433,43301,40433,5.74609844612315,784,784,1.0,0.9959374070167542
43300_40433,43300,40433,5.74609844612315,784,784,1.0,0.9959551692008972
43299_40433,43299,40433,5.74609844612315,784,784,1.0,0.9959962964057922
43298_40433,43298,40433,5.74609844612315,784,784,1.0,0.9960213303565979
43349_40433,43349,40433,5.74609844612315,784,784,1.0,0.995137095451355
43347_40433,43347,40433,5.74609844612315,784,784,1.0,0.9951833486557007
43348_40433,43348,40433,5.74609844612315,784,784,1.0,0.9951708912849426
43342_40433,43342,40433,5.74609844612315,784,784,1.0,0.9952515363693237
43327_40433,43327,40433,5.74609844612315,784,784,1.0,0.9954525828361511
43329_40433,43329,40433,5.74609844612315,784,784,1.0,0.9954609870910645
43328_40433,43328,40433,5.74609844612315,784,784,1.0,0.9954508543014526
43331_40433,43331,40433,5.74609844612315,784,784,1.0,0.9954310059547424
43332_40433,43332,40433,5.74609844612315,784,784,1.0,0.9954121708869934
43333_40433,43333,40433,5.74609844612315,784,784,1.0,0.9953927993774414
43330_40433,43330,40433,5.74609844612315,784,784,1.0,0.9954386949539185
43346_40433,43346,40433,5.74609844612315,784,784,1.0,0.9952031373977661
43343_40433,43343,40433,5.74609844612315,784,784,1.0,0.9952646493911743
43345_40433,43345,40433,5.74609844612315,784,784,1.0,0.9952220320701599
43344_40433,43344,40433,5.74609844612315,784,784,1.0,0.9952509999275208
43410_40433,43410,40433,5.74609844612315,784,784,1.0,0.9954506754875183
43406_40433,43406,40433,5.74609844612315,784,784,1.0,0.9953217506408691
43407_40433,43407,40433,5.74609844612315,784,784,1.0,0.9953793883323669
43408_40433,43408,40433,5.74609844612315,784,784,1.0,0.9953877329826355
43414_40433,43414,40433,5.74609844612315,784,784,1.0,0.9955160021781921
43411_40433,43411,40433,5.74609844612315,784,784,1.0,0.9954604506492615
43409_40433,43409,40433,5.74609844612315,784,784,1.0,0.9954145550727844
43415_40433,43415,40433,5.74609844612315,784,784,1.0,0.9954767823219299
43418_40433,43418,40433,5.74609844612315,784,784,1.0,0.9955596923828125
43419_40433,43419,40433,5.74609844612315,784,784,1.0,0.9955594539642334
43417_40433,43417,40433,5.74609844612315,784,784,1.0,0.995513916015625
43416_40433,43416,40433,5.74609844612315,784,784,1.0,0.995458722114563
43390_40433,43390,40433,5.74609844612315,784,784,1.0,0.9951515793800354
43420_40433,43420,40433,5.74609844612315,785,785,1.0,0.9955446720123291
43391_40433,43391,40433,5.74609844612315,784,784,1.0,0.9951016902923584
43392_40433,43392,40433,5.74609844612315,784,784,1.0,0.9950952529907227
43394_40433,43394,40433,5.74609844612315,784,784,1.0,0.9951766729354858
43393_40433,43393,40433,5.74609844612315,784,784,1.0,0.9951252937316895
43395_40433,43395,40433,5.74609844612315,784,784,1.0,0.9951634407043457
43398_40433,43398,40433,5.74609844612315,784,784,1.0,0.9952002763748169
43399_40433,43399,40433,5.74609844612315,784,784,1.0,0.9952282309532166
43400_40433,43400,40433,5.74609844612315,784,784,1.0,0.9952571392059326
43401_40433,43401,40433,5.74609844612315,784,779,0.9936224489795918,0.9952623248100281
