pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43584_41615,43584,41615,7.2827372775617265,49,18,0.3673469387755102,0.3000067174434662
43585_41615,43585,41615,7.2827372775617265,49,16,0.32653061224489793,0.286930650472641
43586_41615,43586,41615,7.2827372775617265,54,19,0.35185185185185186,0.28061643242836
43575_41615,43575,41615,7.2827372775617265,43,18,0.4186046511627907,0.3202866017818451
43574_41615,43574,41615,7.2827372775617265,40,17,0.425,0.3070051670074463
43572_41615,43572,41615,7.2827372775617265,51,22,0.43137254901960786,0.28520941734313965
43573_41615,43573,41615,7.2827372775617265,35,18,0.5142857142857142,0.29509052634239197
43606_41615,43606,41615,7.2827372775617265,65,23,0.35384615384615387,0.28548187017440796
43607_41615,43607,41615,7.2827372775617265,62,21,0.3387096774193548,0.29037460684776306
43608_41615,43608,41615,7.2827372775617265,64,21,0.328125,0.273164838552475
43600_41615,43600,41615,7.2827372775617265,49,25,0.5102040816326531,0.2865671217441559
43599_41615,43599,41615,7.2827372775617265,49,24,0.4897959183673469,0.2991829812526703
43598_41615,43598,41615,7.2827372775617265,57,28,0.49122807017543857,0.29888638854026794
43605_41615,43605,41615,7.2827372775617265,68,22,0.3235294117647059,0.30572447180747986
43589_41615,43589,41615,7.2827372775617265,32,16,0.5,0.2620762586593628
43588_41615,43588,41615,7.2827372775617265,41,21,0.5121951219512195,0.26958850026130676
43587_41615,43587,41615,7.2827372775617265,44,15,0.3409090909090909,0.2704140841960907
43568_41615,43568,41615,7.2827372775617265,35,17,0.4857142857142857,0.275882750749588
43567_41615,43567,41615,7.2827372775617265,39,18,0.46153846153846156,0.2773703932762146
43566_41615,43566,41615,7.2827372775617265,44,19,0.4318181818181818,0.2881261110305786
43597_41615,43597,41615,7.2827372775617265,54,26,0.48148148148148145,0.31024640798568726
43596_41615,43596,41615,7.2827372775617265,54,23,0.42592592592592593,0.3183991014957428
43595_41615,43595,41615,7.2827372775617265,58,24,0.41379310344827586,0.29615315794944763
43562_41615,43562,41615,7.2827372775617265,38,14,0.3684210526315789,0.2808969020843506
43561_41615,43561,41615,7.2827372775617265,37,15,0.40540540540540543,0.2905004322528839
43560_41615,43560,41615,7.2827372775617265,38,17,0.4473684210526316,0.2960151433944702
43593_41615,43593,41615,7.2827372775617265,34,15,0.4411764705882353,0.2833019196987152
43594_41615,43594,41615,7.2827372775617265,47,21,0.44680851063829785,0.2905222177505493
43602_41615,43602,41615,7.2827372775617265,54,21,0.3888888888888889,0.27665644884109497
43601_41615,43601,41615,7.2827372775617265,54,27,0.5,0.2767045497894287
43604_41615,43604,41615,7.2827372775617265,60,22,0.36666666666666664,0.29148605465888977
43603_41615,43603,41615,7.2827372775617265,59,25,0.423728813559322,0.294859379529953
43513_40639,43513,40639,7.3055286088409215,1357,1021,0.7523949889462048,0.34054744243621826
43512_40639,43512,40639,7.3055286088409215,1426,1111,0.7791023842917251,0.3445475697517395
43511_40639,43511,40639,7.3055286088409215,1400,1156,0.8257142857142857,0.34758511185646057
43514_40639,43514,40639,7.3055286088409215,1379,1099,0.7969543147208121,0.343553364276886
43516_40639,43516,40639,7.3055286088409215,1247,885,0.7097032878909383,0.3436028063297272
43515_40639,43515,40639,7.3055286088409215,1311,946,0.7215865751334859,0.34043166041374207
43521_40639,43521,40639,7.3055286088409215,1307,956,0.7314460596786534,0.34546959400177
43520_40639,43520,40639,7.3055286088409215,1242,923,0.7431561996779388,0.3395739197731018
43518_40639,43518,40639,7.3055286088409215,1130,930,0.8230088495575221,0.34101566672325134
43519_40639,43519,40639,7.3055286088409215,1220,919,0.7532786885245901,0.33931270241737366
43517_40639,43517,40639,7.3055286088409215,1146,916,0.7993019197207679,0.3355613350868225
33347_29946,33347,29946,8.354211897294777,136,45,0.33088235294117646,0.2969427704811096
33348_29946,33348,29946,8.354211897294777,127,49,0.3858267716535433,0.2927421033382416
33349_29946,33349,29946,8.354211897294777,91,32,0.3516483516483517,0.30056387186050415
33346_29946,33346,29946,8.354211897294777,128,42,0.328125,0.30520927906036377
33350_29946,33350,29946,8.354211897294777,95,31,0.3263157894736842,0.3046227693557739
33340_29946,33340,29946,8.354211897294777,124,41,0.33064516129032256,0.31124868988990784
33341_29946,33341,29946,8.354211897294777,95,38,0.4,0.324100136756897
33342_29946,33342,29946,8.354211897294777,115,55,0.4782608695652174,0.30545952916145325
