pair_id,idx_9000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
49982_37154,49982,37154,8.586115343372418,37,17,0.4594594594594595,0.2698277235031128
49976_37154,49976,37154,8.586115343372418,20,12,0.6,0.2652387320995331
49977_37154,49977,37154,8.586115343372418,26,13,0.5,0.274785578250885
49978_37154,49978,37154,8.586115343372418,21,13,0.6190476190476191,0.2721305787563324
49981_37154,49981,37154,8.586115343372418,34,17,0.5,0.2947121262550354
49975_37154,49975,37154,8.586115343372418,15,10,0.6666666666666666,0.2560632824897766
49979_37154,49979,37154,8.586115343372418,26,14,0.5384615384615384,0.2696882486343384
49973_37154,49973,37154,8.586115343372418,15,9,0.6,0.2617633640766144
49974_37154,49974,37154,8.586115343372418,15,9,0.6,0.27033093571662903
49980_37154,49980,37154,8.586115343372418,25,14,0.56,0.29520174860954285
50033_37090,50033,37090,8.709897040004863,17,10,0.5882352941176471,0.3098142445087433
50032_37090,50032,37090,8.709897040004863,30,15,0.5,0.2616181969642639
50031_37090,50031,37090,8.709897040004863,25,15,0.6,0.28578704595565796
50021_37090,50021,37090,8.709897040004863,34,19,0.5588235294117647,0.30131492018699646
50022_37090,50022,37090,8.709897040004863,28,14,0.5,0.28908005356788635
50023_37090,50023,37090,8.709897040004863,25,13,0.52,0.30921289324760437
50024_37090,50024,37090,8.709897040004863,23,16,0.6956521739130435,0.27814069390296936
50025_37090,50025,37090,8.709897040004863,24,12,0.5,0.26374372839927673
50026_37090,50026,37090,8.709897040004863,22,11,0.5,0.2862692177295685
50030_37090,50030,37090,8.709897040004863,30,16,0.5333333333333333,0.26993030309677124
50039_37090,50039,37090,8.709897040004863,10,7,0.7,0.2831231951713562
50040_37090,50040,37090,8.709897040004863,16,11,0.6875,0.26711568236351013
50041_37090,50041,37090,8.709897040004863,12,7,0.5833333333333334,0.235829696059227
50034_37090,50034,37090,8.709897040004863,10,7,0.7,0.3101692795753479
50035_37090,50035,37090,8.709897040004863,18,10,0.5555555555555556,0.2709817588329315
50036_37090,50036,37090,8.709897040004863,23,12,0.5217391304347826,0.28735265135765076
50037_37090,50037,37090,8.709897040004863,25,13,0.52,0.2563595473766327
50038_37090,50038,37090,8.709897040004863,15,10,0.6666666666666666,0.28276532888412476
50045_37090,50045,37090,8.709897040004863,15,10,0.6666666666666666,0.3047947287559509
50046_37090,50046,37090,8.709897040004863,13,7,0.5384615384615384,0.3153793513774872
50047_37090,50047,37090,8.709897040004863,19,12,0.631578947368421,0.278959184885025
50042_37090,50042,37090,8.709897040004863,12,7,0.5833333333333334,0.25926077365875244
50051_37090,50051,37090,8.709897040004863,20,12,0.6,0.29227980971336365
50050_37090,50050,37090,8.709897040004863,17,11,0.6470588235294118,0.2711508870124817
50049_37090,50049,37090,8.709897040004863,16,11,0.6875,0.2702341675758362
50048_37090,50048,37090,8.709897040004863,19,13,0.6842105263157895,0.3060517907142639
50056_37090,50056,37090,8.709897040004863,21,11,0.5238095238095238,0.2725684642791748
50027_37090,50027,37090,8.709897040004863,14,8,0.5714285714285714,0.26069730520248413
50028_37090,50028,37090,8.709897040004863,20,11,0.55,0.2860156297683716
50029_37090,50029,37090,8.709897040004863,28,14,0.5,0.28172266483306885
50052_37090,50052,37090,8.709897040004863,12,7,0.5833333333333334,0.2722969353199005
50053_37090,50053,37090,8.709897040004863,17,10,0.5882352941176471,0.25169700384140015
50054_37090,50054,37090,8.709897040004863,17,11,0.6470588235294118,0.26919007301330566
50055_37090,50055,37090,8.709897040004863,25,13,0.52,0.24086467921733856
50044_37090,50044,37090,8.709897040004863,11,7,0.6363636363636364,0.2691452205181122
50043_37090,50043,37090,8.709897040004863,19,11,0.5789473684210527,0.27811411023139954
54029_32880,54029,32880,8.743359619728079,5,0,0.0,0.34964364767074585
54030_32880,54030,32880,8.743359619728079,4,0,0.0,0.3187217116355896
54027_32880,54027,32880,8.743359619728079,8,7,0.875,0.2890660762786865
54028_32880,54028,32880,8.743359619728079,6,0,0.0,0.34923407435417175
54020_32880,54020,32880,8.743359619728079,3,0,0.0,0.22776277363300323
54021_32880,54021,32880,8.743359619728079,2,0,0.0,0.20755428075790405
54025_32880,54025,32880,8.743359619728079,3,0,0.0,0.257478803396225
54024_32880,54024,32880,8.743359619728079,3,0,0.0,0.30822038650512695
54026_32880,54026,32880,8.743359619728079,7,0,0.0,0.24796710908412933
54023_32880,54023,32880,8.743359619728079,4,0,0.0,0.31950104236602783
54031_32880,54031,32880,8.743359619728079,4,0,0.0,0.26045340299606323
54022_32880,54022,32880,8.743359619728079,2,0,0.0,0.2718070149421692
54018_32906,54018,32906,8.815255294124325,4,0,0.0,0.27031585574150085
53992_32906,53992,32906,8.815255294124325,9,7,0.7777777777777778,0.34530752897262573
54019_32906,54019,32906,8.815255294124325,3,0,0.0,0.3076629638671875
53993_32906,53993,32906,8.815255294124325,5,0,0.0,0.3162669539451599
53994_32906,53994,32906,8.815255294124325,3,0,0.0,0.2172747403383255
53995_32906,53995,32906,8.815255294124325,3,0,0.0,0.23001714050769806
54012_32906,54012,32906,8.815255294124325,2,0,0.0,0.24266085028648376
54013_32906,54013,32906,8.815255294124325,1,0,0.0,0.47535374760627747
53991_32906,53991,32906,8.815255294124325,6,0,0.0,0.3030259907245636
53990_32906,53990,32906,8.815255294124325,11,7,0.6363636363636364,0.30645719170570374
54015_32906,54015,32906,8.815255294124325,5,0,0.0,0.30368489027023315
54014_32906,54014,32906,8.815255294124325,6,0,0.0,0.26096010208129883
54016_32906,54016,32906,8.815255294124325,9,7,0.7777777777777778,0.2817515730857849
54017_32906,54017,32906,8.815255294124325,9,7,0.7777777777777778,0.2521095275878906
53998_32906,53998,32906,8.815255294124325,4,0,0.0,0.2812456488609314
53999_32906,53999,32906,8.815255294124325,2,0,0.0,0.3663555681705475
53996_32906,53996,32906,8.815255294124325,7,0,0.0,0.2730461061000824
53997_32906,53997,32906,8.815255294124325,7,0,0.0,0.29434284567832947
54002_32906,54002,32906,8.815255294124325,5,0,0.0,0.3025500774383545
54003_32906,54003,32906,8.815255294124325,7,0,0.0,0.2539089620113373
54004_32906,54004,32906,8.815255294124325,10,7,0.7,0.27162930369377136
54005_32906,54005,32906,8.815255294124325,5,0,0.0,0.26464539766311646
54006_32906,54006,32906,8.815255294124325,3,0,0.0,0.2837114632129669
54007_32906,54007,32906,8.815255294124325,9,7,0.7777777777777778,0.26885372400283813
54000_32906,54000,32906,8.815255294124325,4,0,0.0,0.2700549066066742
54001_32906,54001,32906,8.815255294124325,6,0,0.0,0.23630638420581818
54009_32906,54009,32906,8.815255294124325,8,7,0.875,0.2706672251224518
54008_32906,54008,32906,8.815255294124325,2,0,0.0,0.25233834981918335
54011_32906,54011,32906,8.815255294124325,2,0,0.0,0.2586863338947296
54010_32906,54010,32906,8.815255294124325,9,7,0.7777777777777778,0.3008419871330261
