pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
40866_25413,40866,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9736577272415161
40865_25413,40865,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9737209677696228
40864_25413,40864,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9738931655883789
40863_25413,40863,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9739204049110413
40862_25413,40862,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.973759114742279
40861_25413,40861,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9740623831748962
40860_25413,40860,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9739702939987183
40859_25413,40859,25413,7.024347694522669,12.1,11.9,784,776,0.9897959183673469,0.9736969470977783
40858_25413,40858,25413,7.024347694522669,12.1,11.9,784,782,0.9974489795918368,0.9737498164176941
40857_25413,40857,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9736953973770142
40856_25413,40856,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9735340476036072
42101_25413,42101,25413,7.024347694522669,12.0,11.9,784,781,0.9961734693877551,0.971947431564331
42100_25413,42100,25413,7.024347694522669,12.0,11.9,784,783,0.9987244897959183,0.9716196060180664
42129_25413,42129,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9759396314620972
42128_25413,42128,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9755261540412903
42127_25413,42127,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9753385186195374
42126_25413,42126,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9750025272369385
42125_25413,42125,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9747373461723328
42124_25413,42124,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9746314883232117
42123_25413,42123,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9741185903549194
42122_25413,42122,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731693863868713
42121_25413,42121,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734119772911072
42120_25413,42120,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734243154525757
42119_25413,42119,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9733643531799316
42118_25413,42118,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9729925394058228
42117_25413,42117,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9729465842247009
40872_25413,40872,25413,7.024347694522669,12.1,11.9,784,774,0.9872448979591837,0.9728549122810364
42037_25413,42037,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717329144477844
42036_25413,42036,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.971760630607605
42067_25413,42067,25413,7.024347694522669,12.0,11.9,784,778,0.9923469387755102,0.9708498120307922
42066_25413,42066,25413,7.024347694522669,12.0,11.9,784,770,0.9821428571428571,0.9712494015693665
42065_25413,42065,25413,7.024347694522669,12.0,11.9,784,783,0.9987244897959183,0.9708533883094788
42064_25413,42064,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9709728956222534
