pair_id,idx_11000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
41974_25413,41974,25413,7.024347694522669,784,784,1.0,0.9836753606796265
41941_25413,41941,25413,7.024347694522669,784,784,1.0,0.9847164750099182
41940_25413,41940,25413,7.024347694522669,784,784,1.0,0.9845486283302307
41971_25413,41971,25413,7.024347694522669,784,784,1.0,0.9829276204109192
41970_25413,41970,25413,7.024347694522669,784,784,1.0,0.9825774431228638
41969_25413,41969,25413,7.024347694522669,784,784,1.0,0.9826915264129639
41968_25413,41968,25413,7.024347694522669,784,784,1.0,0.9828400611877441
41967_25413,41967,25413,7.024347694522669,785,785,1.0,0.9825929999351501
41966_25413,41966,25413,7.024347694522669,784,784,1.0,0.9828675985336304
41965_25413,41965,25413,7.024347694522669,784,784,1.0,0.983079195022583
41964_25413,41964,25413,7.024347694522669,784,784,1.0,0.9830194711685181
41963_25413,41963,25413,7.024347694522669,784,784,1.0,0.9834449887275696
41962_25413,41962,25413,7.024347694522669,784,784,1.0,0.9834426641464233
41961_25413,41961,25413,7.024347694522669,784,784,1.0,0.9836125373840332
41960_25413,41960,25413,7.024347694522669,784,784,1.0,0.9836258888244629
41959_25413,41959,25413,7.024347694522669,784,784,1.0,0.9840229749679565
41958_25413,41958,25413,7.024347694522669,784,784,1.0,0.9839399456977844
41925_25413,41925,25413,7.024347694522669,784,784,1.0,0.9837275147438049
41924_25413,41924,25413,7.024347694522669,784,781,0.9961734693877551,0.9835999011993408
41955_25413,41955,25413,7.024347694522669,784,784,1.0,0.9841285943984985
41954_25413,41954,25413,7.024347694522669,784,784,1.0,0.9840662479400635
41953_25413,41953,25413,7.024347694522669,784,784,1.0,0.9843254089355469
41952_25413,41952,25413,7.024347694522669,784,784,1.0,0.9845418930053711
41951_25413,41951,25413,7.024347694522669,784,784,1.0,0.9846137166023254
41950_25413,41950,25413,7.024347694522669,784,784,1.0,0.9843859672546387
41949_25413,41949,25413,7.024347694522669,784,784,1.0,0.9845072031021118
41948_25413,41948,25413,7.024347694522669,784,784,1.0,0.9848343133926392
41947_25413,41947,25413,7.024347694522669,784,784,1.0,0.9847602248191833
41946_25413,41946,25413,7.024347694522669,784,784,1.0,0.9847460389137268
41945_25413,41945,25413,7.024347694522669,784,784,1.0,0.9848598837852478
41944_25413,41944,25413,7.024347694522669,784,784,1.0,0.9847641587257385
41943_25413,41943,25413,7.024347694522669,784,784,1.0,0.9849003553390503
41942_25413,41942,25413,7.024347694522669,784,784,1.0,0.9846358299255371
41909_25413,41909,25413,7.024347694522669,784,784,1.0,0.982787549495697
41908_25413,41908,25413,7.024347694522669,784,784,1.0,0.9826041460037231
41939_25413,41939,25413,7.024347694522669,784,784,1.0,0.984525740146637
41938_25413,41938,25413,7.024347694522669,784,784,1.0,0.9844822287559509
41937_25413,41937,25413,7.024347694522669,784,784,1.0,0.9842801094055176
41936_25413,41936,25413,7.024347694522669,784,784,1.0,0.9843248724937439
41935_25413,41935,25413,7.024347694522669,784,784,1.0,0.9842395186424255
41934_25413,41934,25413,7.024347694522669,784,784,1.0,0.9843069314956665
41933_25413,41933,25413,7.024347694522669,784,784,1.0,0.9842182993888855
41932_25413,41932,25413,7.024347694522669,784,784,1.0,0.9840673208236694
41931_25413,41931,25413,7.024347694522669,784,784,1.0,0.9843685626983643
41930_25413,41930,25413,7.024347694522669,784,784,1.0,0.9842896461486816
41929_25413,41929,25413,7.024347694522669,784,784,1.0,0.9841712713241577
41928_25413,41928,25413,7.024347694522669,784,784,1.0,0.9838728904724121
41927_25413,41927,25413,7.024347694522669,784,784,1.0,0.9836052656173706
41926_25413,41926,25413,7.024347694522669,784,784,1.0,0.9835605025291443
41893_25413,41893,25413,7.024347694522669,784,784,1.0,0.9825689196586609
41892_25413,41892,25413,7.024347694522669,784,784,1.0,0.9826794266700745
41923_25413,41923,25413,7.024347694522669,784,784,1.0,0.983403742313385
41922_25413,41922,25413,7.024347694522669,784,784,1.0,0.9834409356117249
41921_25413,41921,25413,7.024347694522669,784,784,1.0,0.983424186706543
41920_25413,41920,25413,7.024347694522669,784,784,1.0,0.9834753274917603
41919_25413,41919,25413,7.024347694522669,784,784,1.0,0.983473539352417
41918_25413,41918,25413,7.024347694522669,784,784,1.0,0.9834160208702087
41917_25413,41917,25413,7.024347694522669,784,784,1.0,0.9834493398666382
41916_25413,41916,25413,7.024347694522669,784,784,1.0,0.9834743142127991
41915_25413,41915,25413,7.024347694522669,784,784,1.0,0.983317494392395
41914_25413,41914,25413,7.024347694522669,784,784,1.0,0.9834561944007874
41913_25413,41913,25413,7.024347694522669,784,784,1.0,0.9831150770187378
41912_25413,41912,25413,7.024347694522669,784,784,1.0,0.9829866290092468
41911_25413,41911,25413,7.024347694522669,784,784,1.0,0.9825693964958191
41910_25413,41910,25413,7.024347694522669,784,784,1.0,0.9828332662582397
41877_25413,41877,25413,7.024347694522669,784,784,1.0,0.9833884835243225
41876_25413,41876,25413,7.024347694522669,784,784,1.0,0.9830004572868347
41907_25413,41907,25413,7.024347694522669,784,784,1.0,0.9822446703910828
41906_25413,41906,25413,7.024347694522669,784,784,1.0,0.9825177788734436
41905_25413,41905,25413,7.024347694522669,784,784,1.0,0.9825175404548645
41904_25413,41904,25413,7.024347694522669,784,784,1.0,0.9822807908058167
41903_25413,41903,25413,7.024347694522669,784,784,1.0,0.9826026558876038
41902_25413,41902,25413,7.024347694522669,784,784,1.0,0.9823271036148071
41901_25413,41901,25413,7.024347694522669,784,784,1.0,0.9823688864707947
41900_25413,41900,25413,7.024347694522669,784,784,1.0,0.9824025630950928
41899_25413,41899,25413,7.024347694522669,784,784,1.0,0.9824252128601074
41898_25413,41898,25413,7.024347694522669,784,784,1.0,0.982367992401123
41897_25413,41897,25413,7.024347694522669,784,784,1.0,0.9820194840431213
41896_25413,41896,25413,7.024347694522669,784,784,1.0,0.9823083877563477
41895_25413,41895,25413,7.024347694522669,784,784,1.0,0.9823720455169678
41894_25413,41894,25413,7.024347694522669,784,784,1.0,0.9823125004768372
41861_25413,41861,25413,7.024347694522669,784,784,1.0,0.9837620258331299
41860_25413,41860,25413,7.024347694522669,784,784,1.0,0.9835670590400696
41891_25413,41891,25413,7.024347694522669,784,784,1.0,0.9826511740684509
41890_25413,41890,25413,7.024347694522669,784,784,1.0,0.9825979471206665
41889_25413,41889,25413,7.024347694522669,784,784,1.0,0.9826493263244629
41888_25413,41888,25413,7.024347694522669,784,784,1.0,0.9827823042869568
41887_25413,41887,25413,7.024347694522669,784,784,1.0,0.982824981212616
41886_25413,41886,25413,7.024347694522669,784,784,1.0,0.9829233884811401
41885_25413,41885,25413,7.024347694522669,784,784,1.0,0.9831403493881226
41884_25413,41884,25413,7.024347694522669,784,784,1.0,0.983587920665741
41883_25413,41883,25413,7.024347694522669,784,784,1.0,0.9832339286804199
41882_25413,41882,25413,7.024347694522669,784,784,1.0,0.9831010699272156
41881_25413,41881,25413,7.024347694522669,784,784,1.0,0.9830991625785828
41880_25413,41880,25413,7.024347694522669,784,784,1.0,0.9830203652381897
41879_25413,41879,25413,7.024347694522669,784,784,1.0,0.9830090403556824
41878_25413,41878,25413,7.024347694522669,784,784,1.0,0.983410120010376
